#hg19.kgXref.geneSymbol	hg19.kgXref.refseq	hg19.knownGene.chrom	hg19.knownGene.txStart	hg19.knownGene.txEnd	region
APC	NM_001127511	chr5	112043201	112181936	138735
ATM	NM_000051	chr11	108093558	108239826	146268
BARD1	NM_000465	chr2	215632205	215674428	42223
BLM	NM_000057	chr15	91260578	91358686	98108
BMPR1A	NM_004329	chr10	88516395	88684945	168550
BRCA1	NM_007298	chr17	41196311	41322420	126109
BRCA2	NM_000059	chr13	32889616	32973809	84193
BRIP1	NM_032043	chr17	59756546	59940920	184374
CDH1	NM_004360	chr16	68771194	68869444	98250
CDK4	NM_000075	chr12	58141509	58146230	4721
CDKN2A	NM_058195	chr9	21967750	21994490	26740
CHEK2	NM_001005735	chr22	29083730	29137822	54092
EPCAM	NM_002354	chr2	47596286	47614167	17881
MLH1	NM_001167617	chr3	37035267	37107380	72113
MRE11A	NM_005590	chr11	94150468	94227040	76572
MSH2	NM_000251	chr2	47630205	47906510	276305
MSH6	NM_000179	chr2	48010220	48034092	23872
MUTYH	NM_001048171	chr1	45794913	45806142	11229
NBN	NM_002485	chr8	90945563	90996899	51336
PALB2	NM_024675	chr16	23614482	23652678	38196
PMS2	NM_000535	chr7	6012869	6048737	35868
PRSS1	NM_002769	chr7	142457318	142460927	3609
PTEN	NM_000314	chr10	89623194	89728532	105338
RAD50	NM_005732	chr5	131892615	131980313	87698
RAD51C	NM_058216	chr17	56769962	56811692	41730
RAD51D	NM_001142571	chr17	33426810	33446888	20078
RET	NM_020975	chr10	43572516	43625797	53281
SMAD4	NM_005359	chr18	48556582	48611411	54829
STK11	NM_000455	chr19	1205797	1228434	22637
TP53	NM_001126118	chr17	7571719	7590868	19149
VHL	NM_000551	chr3	10183318	10195354	12036
